Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,           1784.03,           2497.02,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          19963.88,          19047.31,,,          12104.51,          11749.40,          11327.33,          11276.90,           9977.98,           8785.64,           6942.90,           7767.39,           6711.40,           4535.83,           3377.53,           3080.72,           4948.40,           3594.17,           2266.08,           2044.60,           1756.57,             63.47,             68.56,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,           6031.76,           5227.13,           5082.50,           4681.36,           4502.18,           5288.04,           5397.81,           5196.30,           4381.81,           2913.22,           2165.96,           2091.04,            144.26,            159.08,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8969.34,          16020.98,          23095.31,          41692.92,          58237.15,          50439.34,          32585.87,          52101.01,          49841.32,          38591.56,          10899.81,           8966.27,          15122.65,          11267.62,          13835.84,          17048.12,          10412.97,           8223.43,           9480.88,           9630.98,           3365.64,           3137.88,           3852.35,           1654.22,            113.68,            100.33,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10201.67,          18472.73,          18127.90,          20473.86,          26467.72,          21049.16,          13220.16,          13701.61,          15876.22,          11496.03,           7207.93,           6407.92,           7738.11,           5803.09,           6067.23,           5191.39,           5426.41,           5811.88,           6128.89,           5712.09,           4201.52,           2676.07,           2561.39,           2678.28,,,,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,           3915.40,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       96428547.75,      118677685.99,      124925175.06,      111335828.28,      114218129.15,       92397946.67,       80857830.33,      103603113.50,       76811248.65,       72081974.22,       55625636.07,       42446407.49,       25048308.46,       26503595.30,       25925431.57,       19573260.97,       15885380.09,        1887193.27,       17518016.66,        9566656.30,        1486347.18,         552754.69,        6187852.69,          14840.29,        4459724.82,        4306583.87,,
,World,Animal,Export,Export(US$ Mil),           2766.35,           4564.95,           4691.28,           5474.04,           4459.11,           4537.85,           3857.51,           3481.97,           3110.89,           2686.59,           2762.95,           2642.56,           2309.06,           1978.60,           1919.33,           1742.22,            868.61,            829.46,            883.22,            780.83,            703.39,            489.34,            363.63,            356.25,             55.96,             45.02,,
,World,Capital goods,Export,Export(US$ Mil),          13098.72,          24220.54,          23933.36,          21789.96,          21786.93,          18231.79,          13234.67,          17578.31,          13883.37,          11453.45,           9303.75,           7391.53,           6099.06,           5293.46,           4174.22,           3974.91,           3834.40,           3573.75,           3766.55,           2931.75,           2510.73,           1846.50,           1535.25,           1415.52,             12.67,             15.52,,
,World,Chemicals,Export,Export(US$ Mil),           6172.48,           9935.42,           8618.02,           8460.92,           8362.61,           7357.06,           5288.03,           7494.96,           5804.46,           5388.23,           5232.04,           4474.30,           3391.79,           3261.11,           2535.53,           2545.47,           2240.39,           2245.53,           2475.14,           2387.79,           2091.23,           1417.51,           1065.30,           1168.40,              8.78,              4.97,,
