Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Chemicals,Export,Export(US$ Mil),          33276.41,          34019.04,          35439.05,          31625.96,          27786.59,          22682.07,          17664.25,          19332.57,          15046.60,          12902.83,          10552.12,           7894.35,           6363.15,           5142.42,           4296.07,           4163.84,           3603.40,           3058.59,           3353.73,           2948.21,           2553.64,           2151.17,           1675.52,           1460.03,           1592.76,           1438.81,           1476.70,            940.66
,World,Consumer goods,Export,Export(US$ Mil),         138681.74,         174886.40,         176169.36,         157000.09,         173661.75,         128010.31,         106710.72,         109580.01,          89719.49,          78092.92,          63475.47,          49992.56,          40547.65,          28058.37,          26313.84,          26014.32,          18187.06,          18418.18,          16095.66,          14936.84,          14640.80,          14516.22,          12202.51,          11670.33,           9778.43,           9219.14,           7041.56,           4760.79
,World,Food Products,Export,Export(US$ Mil),           6966.07,           8045.09,           9784.75,           8603.31,           8398.26,           6183.62,           4534.22,           7051.86,           4546.63,           3599.45,           2233.19,           2074.00,           1767.84,           1312.18,           1369.49,           1070.91,            935.60,            918.93,           1554.79,           1773.79,           1207.51,            890.68,           1128.29,           1081.13,            687.68,            593.78,            588.70,            431.46
,World,Footwear,Export,Export(US$ Mil),           3370.85,           3596.30,           3218.53,           2454.07,           2930.15,           2323.08,           2094.18,           2243.31,           1975.41,           1688.52,           1499.11,           1214.18,            984.74,            800.78,            839.00,            833.76,            745.27,            655.01,            582.26,            619.24,            629.60,            664.10,            567.98,            532.53,            505.30,            527.43,            418.26,            377.40
,World,Fuels,Export,Export(US$ Mil),          31863.10,          63291.66,          70129.83,          54919.81,          58199.46,          39565.15,          25217.66,          34574.08,          25078.58,          19055.32,          11344.92,           6569.02,           3917.42,           2359.32,           2176.12,           1481.36,            159.38,            185.89,            411.19,            525.89,            540.11,            563.98,            550.95,            616.67,            485.30,            570.21,            465.71,            355.19
,World,Hides and Skins,Export,Export(US$ Mil),           4673.13,           5244.67,           5173.89,           4278.32,           4611.33,           3601.89,           3041.89,           3884.72,           3534.91,           3219.58,           3110.16,           2739.32,           2259.89,           1577.95,           1720.32,           1634.36,           1210.47,           1262.80,           1308.54,           1239.56,           1416.97,           1344.92,           1062.78,           1169.19,           1000.34,           1158.12,           1003.26,            725.54
,World,Intermediate goods,Export,Export(US$ Mil),          93785.53,         103122.78,         114846.99,          94729.69,         104927.46,          85922.65,          61189.87,          70515.67,          58549.86,          49963.33,          43880.08,          34921.36,          29449.30,          21208.63,          17797.21,          18900.00,          16390.07,          13436.67,          14890.17,          14290.34,          13825.98,          11841.27,          10018.97,           8733.25,           7208.10,           7144.70,           7143.94,           5877.64
,World,Mach and Elec,Export,Export(US$ Mil),          21761.44,          23374.16,          24972.98,          22481.78,          23345.27,          17643.74,          17371.76,          15203.87,          11829.12,           9317.09,           7164.95,           5272.32,           4290.66,           3253.62,           3144.77,           2669.68,           2039.33,           1832.23,           2115.39,           1926.53,           1650.70,           1332.95,           1070.20,            986.05,            934.41,            977.04,            937.40,            735.01
,World,Metals,Export,Export(US$ Mil),          21778.36,          26347.78,          26221.11,          23161.40,          22324.94,          22934.56,          13134.35,          19931.33,          16343.05,          13991.53,          10405.00,           7751.75,           5481.67,           3796.21,           2857.41,           2916.47,           2361.75,           1806.66,           2218.33,           1959.00,           1772.31,           1475.64,           1428.47,           1266.36,            842.87,            762.74,            681.11,            491.08
,World,Minerals,Export,Export(US$ Mil),           3070.22,           4188.83,           5318.28,           5884.26,           7356.86,           8845.27,           7606.05,           8586.91,           7493.42,           5862.81,           5968.72,           3305.09,           1648.50,           1419.17,            971.92,            871.86,            718.66,            689.11,            806.02,            897.24,            912.39,            827.61,            773.24,            707.33,            831.13,            839.92,            848.33,            688.03
,World,Miscellaneous,Export,Export(US$ Mil),           8147.37,           7099.94,          11006.28,           8012.13,          18573.42,           8206.21,          11102.92,           6418.59,           4970.22,           4188.95,           3744.80,           3165.67,           2772.45,           2023.03,           2038.50,           1713.04,           1387.58,           1293.85,           1090.27,            980.25,            902.02,            848.18,            683.23,            612.21,            488.55,            595.40,            460.17,            418.85
,World,Plastic or Rubber,Export,Export(US$ Mil),           8596.81,           9669.50,          10771.03,           9320.22,           9890.55,           6617.31,           4500.47,           5581.65,           4824.52,           4803.50,           4064.59,           3206.92,           2265.92,           1702.27,           1400.38,           1205.55,            956.83,            645.68,            742.73,            749.45,            788.93,            876.62,            667.63,            514.65,            309.54,            334.09,            191.80,            115.11
