Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19129.04,          24312.38,,,,,          17931.03,          24862.09,          20270.71,          16596.45,          13291.88,          12206.81,          10653.03,           7331.23,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          33468.61,          27495.56,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         387963.69,         411880.41,         397758.23,         392675.69,         375634.22,         322470.12,         256000.27,         355896.40,         307764.00,         326885.22,         283021.32,         249482.25,         204247.19,         194722.80,         188467.81,         204172.11,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         300560.21,         327411.64,         332439.30,         334539.66,         316736.83,         259391.64,         208525.39,         268395.48,         232148.75,         206963.59,         185453.27,         164578.63,         150692.61,         152865.97,         165651.79,         177459.39,         153963.62,         149375.21,         138822.16,         111920.82,          96012.05,          86990.65,          69148.73,          59888.24,          35348.50,          25896.59,           4139.39,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          62320.99,          75056.96,          78430.88,          58257.77,          53382.21,          34025.86,,          19319.22,          20629.02,          13401.06,,           9385.41,           8124.39,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      205413177.75,      587374158.27,      415893103.45,      431390469.89,      437557788.94,      333859499.60,      338456658.86,      463345056.87,      355957461.33,      309097303.66,      238182504.73,      214110493.85,       42358110.21,       85874804.90,       42892436.30,       32646023.03,       17719493.42,       24680681.97,       21963495.09,       16285019.72,       36394630.43,        5604487.38,        7348945.97,        6276033.66,       11785871.80,        7698031.18,        1322713.98,
,World,Animal,Export,Export(US$ Mil),          36719.15,          42896.40,          39262.20,          36410.53,          35703.34,          29931.50,          26796.84,          30988.58,          25160.09,          22055.59,          19831.01,          16500.80,          12385.66,          10281.45,          10085.06,           9444.86,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
,World,Capital goods,Export,Export(US$ Mil),         225397.77,         222967.68,         217405.78,         205054.80,         189639.29,         166040.69,         126902.99,         160302.50,         142719.58,         138295.54,         121639.53,         107843.81,          90980.02,          86491.27,          86712.31,          87456.63,          72385.50,          60966.86,          53094.95,          43130.51,          36068.12,          30098.11,          24164.51,          19880.91,           9817.19,           8704.85,           5470.02,
,World,Chemicals,Export,Export(US$ Mil),          34243.82,          37489.69,          38788.43,          40412.99,          44914.92,          39285.24,          32364.23,          38228.30,          30342.75,          27165.60,          23516.13,          20377.55,          16266.71,          14712.67,          14893.67,          14760.99,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
,World,Consumer goods,Export,Export(US$ Mil),         183043.94,         198393.81,         215401.38,         221395.00,         195480.64,         191949.76,         165690.51,         206500.34,         166736.43,         154732.14,         147047.65,         121946.38,          97429.26,          94041.92,          98388.02,         100793.88,          84244.95,          79605.06,          76068.83,          66092.16,          56226.01,          46497.44,          36026.06,          29162.82,          18437.79,          13915.42,           7719.94,
,World,Food Products,Export,Export(US$ Mil),          65985.95,          72872.27,          77057.46,          74707.62,          73996.68,          63233.57,          56708.14,          55773.78,          46181.54,          41004.88,          34346.16,          29813.01,          25682.18,          23303.43,          22675.38,          19938.19,          19485.42,          19988.83,          21998.68,          20946.94,          17164.48,          14031.99,          11313.61,           9034.25,           7062.36,           6670.97,           5289.44,
,World,Footwear,Export,Export(US$ Mil),           2722.03,           2933.46,           2818.72,           2764.46,           3955.49,           3656.08,           3265.33,           4094.67,           3933.97,           3681.83,           2906.09,           2727.71,           2404.89,           2263.14,           2277.06,           2250.69,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,World,Fuels,Export,Export(US$ Mil),          73312.07,         131316.35,         226358.96,         247252.78,         212492.98,         178592.83,         139975.53,         206090.71,          97937.17,         147374.61,         120517.29,          83908.67,          61373.32,          51175.18,          50937.97,          60558.95,          37833.07,          27497.58,          39708.85,          41265.60,          31419.60,          26814.48,          13402.72,          13589.00,          13121.93,          10594.18,            852.13,
,World,Hides and Skins,Export,Export(US$ Mil),           5090.01,           6157.77,           5475.42,           4837.82,           4969.55,           4425.05,           3214.16,           4892.86,           5323.66,           4676.63,           3885.41,           3625.59,           3105.95,           2849.79,           3033.74,           3046.10,           2589.82,           2722.47,           2971.61,           2716.26,           2642.64,           2226.91,           1665.14,            816.74,            631.88,            444.69,            324.69,
,World,Intermediate goods,Export,Export(US$ Mil),         179616.12,         205473.93,         211721.51,         224476.09,         235299.10,         195695.13,         154773.25,         188385.19,         160856.15,         144157.61,         118544.78,         101640.00,          77808.39,          66585.37,          64543.97,          65048.71,          57575.86,          58110.89,          63852.45,          60807.43,          59175.66,          45240.34,          33798.32,          29164.21,          24421.35,          22231.60,          13947.79,
,World,Mach and Elec,Export,Export(US$ Mil),         161913.75,         165123.24,         159839.12,         157862.88,         149656.65,         139309.02,         112160.61,         140320.00,         124343.36,         121195.16,         103012.75,          92039.21,          80162.68,          77497.24,          78341.09,          81424.06,          67821.93,          56984.63,          50435.99,          42187.27,          36342.47,          30565.70,          24622.91,          20212.48,           7580.56,           6982.55,           3812.82,
,World,Metals,Export,Export(US$ Mil),          56740.69,          67142.45,          67917.44,          74120.52,          82366.57,          71199.98,          54407.87,          77283.46,          72364.40,          66804.92,          50768.45,          41767.35,          27845.14,          25301.23,          23873.09,          25214.04,          21012.41,          21739.86,          24354.75,          22301.84,          22679.37,          17101.01,          13368.94,          13464.86,          11253.90,          10722.63,           6333.94,
,World,Minerals,Export,Export(US$ Mil),          52376.98,          70369.54,          77572.13,          77641.05,          87461.25,          67245.22,          39607.51,          48205.33,          46182.70,          36581.20,          26559.32,          18345.56,          10575.32,           8680.88,           8704.27,           9045.46,           7949.03,           8256.92,           8380.60,           7653.56,           7536.04,           5677.14,           4448.13,           5439.75,           4984.65,           4341.67,           2589.78,
,World,Miscellaneous,Export,Export(US$ Mil),          43647.89,          43912.44,          42046.58,          42183.46,          64421.48,          28584.96,          29217.24,          32702.20,          37496.49,          28254.05,          23332.95,          21625.16,          19494.82,          19250.75,          17333.42,          16089.54,          11649.64,          10351.75,          13296.51,          10674.66,           6286.55,           5230.25,           4349.83,           3492.55,           1619.40,           1298.62,            706.87,
,World,Plastic or Rubber,Export,Export(US$ Mil),          22875.80,          24261.43,          24144.04,          24350.53,          23910.82,          19516.57,          15942.23,          18653.17,          17791.96,          15490.99,          13790.68,          11333.18,           8999.00,           7709.49,           7797.84,           8077.81,           6649.21,           6290.43,           6204.64,           5468.18,           5302.00,           4193.87,           3338.30,           2692.53,           1693.02,           1363.42,            880.67,
,World,Raw materials,Export,Export(US$ Mil),         232187.20,         303041.01,         392214.89,         391492.97,         390858.99,         294158.12,         215528.01,         289621.51,         189838.86,         216253.14,         164220.27,         123847.11,          99216.01,          83047.68,          77162.24,          84777.95,          66684.82,          62537.64,          74316.71,          69924.61,          59363.08,          49808.38,          32324.40,          29228.20,          28291.39,          21879.85,           8010.73,
,World,Stone and Glass,Export,Export(US$ Mil),          31671.27,          34439.86,          39144.04,          45440.00,          43191.92,          33049.98,          25336.27,          24592.31,          20762.90,          18754.79,          14044.58,          12129.81,          10007.72,           8527.60,           7116.12,           7265.64,           7011.30,           6931.37,           6391.62,           6078.77,           5704.01,           5095.21,           3149.85,           2628.79,           1972.04,           1592.37,            452.66,
,World,Textiles and Clothing,Export,Export(US$ Mil),          19696.06,          20832.55,          20585.95,          21740.42,          22639.27,          19489.32,          17303.30,          22724.27,          21919.07,          20673.06,          21756.12,          18371.29,          17015.80,          16722.87,          14964.53,          16154.84,          14612.83,          13712.56,          13516.38,          10997.68,           9634.48,           7156.67,           5305.19,           5016.97,           3444.43,           2335.66,           1761.14,
,World,Transportation,Export,Export(US$ Mil),         120206.47,         118299.98,         120713.58,         105607.33,          98771.09,          81874.95,          56002.00,          78021.39,          71626.95,          64131.17,          53524.87,          46030.58,          38838.35,          39052.08,          41095.74,          40699.50,          32801.20,          31701.34,          27617.74,          23209.90,          18225.56,          14318.48,          11728.47,           9473.84,           7032.73,           5635.54,           3045.43,
,World,Vegetable,Export,Export(US$ Mil),          97597.09,          99509.86,         103483.68,          99738.23,         100074.00,          74927.26,          61945.19,          75333.51,          58449.50,          44511.77,          40841.61,          37185.24,          32170.48,          25969.89,          25870.27,          25491.45,          26486.88,          30512.95,          30284.04,          25408.13,          24353.65,          21241.71,          13740.53,           9059.51,           8759.95,           5899.63,           4071.52,
,World,Wood,Export,Export(US$ Mil),          22541.95,          22885.92,          22078.08,          20942.78,          22069.33,          20321.79,          16760.07,          20819.32,          19490.42,          16915.42,          15187.97,          13879.19,          11447.83,           9791.73,          10058.36,          10306.73,           9157.67,           8356.59,           8636.82,           7956.04,           9136.86,           6562.24,           5376.69,           4584.05,           3274.81,           2910.38,           1756.44,
,World,All Products,Export,Exports (in US$ Mil),         847340.97,         960443.23,        1067285.84,        1076013.40,        1070595.35,         874643.29,         691006.51,         878723.87,         699306.92,         679271.65,         567821.39,         469659.91,         377775.87,         343089.43,         339057.69,         349768.93,         289402.30,         269305.69,         278240.63,         248898.27,         216976.65,         177052.82,         129481.12,         110039.69,          81716.84,          67407.74,          35543.00,
,World,Capital goods,Import,Import(US$ Mil),         346296.44,         363057.01,         386810.30,         378383.28,         358860.26,         305898.90,         238354.08,         298164.69,         235342.57,         220728.12,         186068.91,         156191.16,         127386.59,         125958.28,         139064.39,         139476.44,         122746.11,         124262.43,         115181.85,          91147.02,          76616.94,          67592.62,          47892.97,          36619.42,          24470.55,          18823.71,           5515.25,
,World,Consumer goods,Import,Import(US$ Mil),         289105.70,         332748.29,         348358.68,         339135.31,         330163.40,         261179.81,         196430.27,         256883.73,         209507.71,         176063.46,         147782.83,         118479.52,         101188.17,          97431.85,         105344.89,         101749.39,          88175.24,          89263.78,          85239.32,          67904.44,          61243.42,          53431.55,          37730.17,          27311.87,          16250.93,          10744.65,           2101.88,
,World,Intermediate goods,Import,Import(US$ Mil),         208320.30,         227740.19,         237043.68,         241435.95,         239122.82,         193169.49,         150175.42,         203177.16,         158238.99,         133539.14,         116772.42,         100695.93,          80362.35,          73844.23,          78688.96,          78697.27,          69512.09,          72438.11,          70083.67,          60383.24,          56851.12,          46270.96,          34017.15,          26803.96,          20925.26,          15284.36,           6059.98,
,World,Raw materials,Import,Import(US$ Mil),          58440.82,          78948.80,          85720.52,          82528.45,          88472.35,          69126.85,          57302.82,          87894.18,          62973.35,          52010.08,          44281.43,          37543.45,          29800.84,          26245.76,          27119.20,          27379.70,          22288.42,          23424.38,          25820.74,          25111.23,          18893.44,          16712.40,          12955.82,          13662.58,          12314.59,          11339.54,           6767.23,
,World,All Products,Import,Imports (in US$ Mil),         927313.06,        1026193.14,        1084102.34,        1067681.23,        1039158.43,         846667.02,         658732.81,         863508.59,         713254.37,         604987.11,         504548.71,         422319.41,         346512.32,         333208.88,         358294.84,         363866.20,         311507.44,         318200.31,         304724.99,         250637.84,         222820.57,         195946.45,         143259.11,         113518.15,          80965.91,          60388.93,          20618.53,
,...,...,Development,"GNI per capita, Atlas method (current US$)",   8967.90,   9832.59,  10038.84,   9658.87,   8742.82,   7943.99,   7116.84,   6959.69,   6056.73,   5153.59,   4519.06,   4009.69,   3667.13,   3672.98,   3926.93,   4034.02,   3955.30,   4157.44,   4190.91,   3915.75,   3587.93,   3391.31,   3165.34,   2947.15,   2659.04,   2309.91,   2202.70,   2089.73
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     43.11,     42.80,     44.84,     45.35,     45.79,     43.30,     40.77,     47.63,     46.00,     46.25,     45.72,     45.92,     43.72,     41.91,     39.36,     39.07,     37.15,     35.82,     36.05,     36.03,     34.75,     32.07,     31.26,     33.32,     32.76,     33.12,     32.35,     31.90
,...,...,Development,Trade Balance (% of GDP),     -2.24,     -3.07,     -1.82,     -0.74,      0.25,      0.46,      0.04,     -0.04,      1.30,      2.79,      3.13,      3.00,      2.61,      1.79,     -1.29,     -0.59,     -0.98,     -2.49,     -1.46,     -0.05,     -0.21,     -0.91,     -0.73,     -0.57,      0.45,      2.29,      2.76,      2.11
,...,...,Development,Trade in services (% of GDP),      6.92,      6.31,      6.18,      6.02,      5.98,      5.68,      6.15,      6.19,      6.23,      6.20,      6.55,      6.73,      6.91,      6.69,      6.27,      6.12,      6.12,      5.56,      5.63,      5.53,      5.70,      5.79,      6.07,      6.37,      5.29,      6.21,      6.24,      6.11
,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      2.70,      2.68,,,      2.58,,,,,,      1.93,      2.28,      2.45,      3.35,      3.25,      2.88,,,      3.74,      3.68,,,,
,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,      3.49,      3.46,      3.41,      4.20,      4.43,      4.55,      4.31,      3.56,      2.95,      3.06,      3.70,      4.15,      6.67,
,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.03,      3.60,      3.57,      3.50,      3.48,      3.58,      3.13,      3.30,      2.95,      2.55,      2.23,      2.18,      2.17,      2.41,      2.95,      3.26,      3.05,      4.39,      4.61,      4.50,      4.88,      3.61,,,,,,
,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.75,      3.68,      4.38,      4.45,      5.14,      5.15,      4.88,      5.42,      5.56,      5.72,      5.98,      5.39,      4.46,      3.42,      3.76,      3.73,      3.49,      4.13,      4.29,      4.24,      4.19,      4.92,      4.82,      2.79,,,,
,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,      2.36,      2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
