Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         554034.30,         539352.85,         491572.98,         476331.53,         466001.89,         426214.30,         344407.97,         396464.26,         375936.00,         336226.89,         284200.65,         229066.21,         176538.75,         143686.09,         117599.02,         115208.72,          93779.14,          80257.33,          70390.70,          58014.07,          51887.11,          44172.34,          36066.20,,,,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           2085.68,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1990.76,           1664.21,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,          32519.14,          30147.57,           3302.26,           3156.42,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          70112.05,          76532.38,          75538.80,          80322.57,          76568.02,          69401.66,          58477.92,          77038.20,          71266.75,          67953.70,          62986.49,          60987.11,          57915.47,          56766.29,          63025.55,          71362.88,          63131.33,          63690.05,          73721.27,          75736.80,          73035.68,          60535.47,          54487.81,          53952.99,          54351.00,           7038.12,           7426.36,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         146347.32,         149553.69,         151920.83,         161474.75,         145758.37,         136824.74,         109269.97,         157769.06,         163884.02,         165783.42,         154186.43,         143739.17,         131115.26,         134467.68,         139165.11,         161808.06,         144992.48,         134527.18,         133350.67,         125620.93,         136034.62,         130788.71,         118702.26,         109125.61,         104661.66,           8154.77,           8063.96,
,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1353.76,
,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           2061.20,
,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         241537.42,         245274.06,         231348.23,         221266.32,         203818.50,         168529.80,         133217.87,         157041.82,         141145.37,         137985.58,         122830.07,         113157.64,          99032.62,          99072.79,         103287.52,         113078.36,          88140.70,          79977.23,          72314.12,          57681.87,          47155.22,          51603.56,          42235.90,          41158.63,          33625.26,,,
,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         321919.62,         322930.79,         306461.51,         303125.41,         289931.21,         253718.85,         192856.53,         234927.74,         228930.43,         214634.80,         184532.19,         168159.61,         148417.95,         144265.91,         140605.09,         145590.18,         117491.04,         101249.07,          92187.97,          78535.28,          66646.77,          53607.78,          43505.88,          38143.09,          34018.88,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,          41911.78,          38244.91,          36076.29,          44064.94,          45435.51,          43804.97,          42043.59,          39227.44,          36419.39,          31665.52,          29240.02,          28636.20,          25381.28,          24685.96,           3009.21,           2984.15,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           4153.38,           3855.06,
