Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         284069.09,         304316.09,         299179.26,         267310.61,         259729.57,         234371.69,         175304.84,         212023.20,         205831.46,         185042.32,         159894.81,         140153.88,         108491.92,          92296.28,          78896.03,          85957.78,          63469.88,          55979.01,          65845.66,          67987.10,          65116.95,          53992.64,          47608.22,,,,,
,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,          67796.93,          67118.17,          67781.22,          55807.50,          46110.24,          36938.30,          30008.27,          24723.67,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         776267.89,         780697.46,         735348.63,         719489.85,         670917.13,         608494.15,         483854.02,         602802.28,         590618.37,         561818.07,         492382.15,         437837.68,         371248.03,         348163.44,         328768.05,         369381.33,         320837.63,         295721.49,         285311.48,         266289.12,         267062.86,         246852.09,         215109.75,         160628.94,         142415.73,         139618.13,         141223.20,         114416.88
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         399042.70,         433775.11,         425109.91,         415674.55,         401459.22,         345998.33,         275544.69,         331998.68,         295185.60,         271380.40,         242457.76,         227586.20,         199968.58,         185786.49,         188810.27,         207203.73,         187212.71,         181342.58,         212826.80,         216390.55,         197436.72,         160477.16,         136460.35,         117871.35,         106856.71,         101595.57,          92250.82,          64850.66
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     2793159900.16,     3437475074.54,     2376535843.34,     2303061197.51,     3126263013.97,     2594639138.31,     1940297904.44,     2410631739.83,     1993351220.81,     1741822203.66,     1406252511.69,     1204510915.44,      955049080.73,      806726107.89,      696559998.39,      747706945.91,      583138582.75,      546735157.96,      632585348.55,      627507845.25,      333556472.26,      154245446.33,      162893636.31,      129230945.69,      145500338.56,      125839399.23,      147013124.67,      231279816.94
,World,Animal,Export,Export(US$ Mil),          63541.49,          75564.60,          67210.25,          63182.18,          62740.08,          52878.38,          43042.08,          46738.09,          40670.31,          36109.84,          34295.58,          32205.64,          28324.17,          26540.56,          26842.23,          25540.43,          22262.16,          21839.75,          23906.23,          23778.40,          23238.53,          21379.30,          18471.87,          17155.86,          13542.36,          12053.85,          11208.96,           4998.56
,World,Capital goods,Export,Export(US$ Mil),        2345795.51,        2403817.76,        2355301.02,        2294832.04,        2207764.83,        1989531.24,        1535800.06,        1777471.21,        1625301.97,        1415941.90,        1219856.66,        1068340.98,         837244.47,         685245.16,         623933.29,         713486.10,         577549.11,         516660.60,         544333.78,         521550.14,         513887.35,         423161.13,         347058.31,         278286.76,         241845.02,         213737.29,         198084.60,         158010.55
,World,Chemicals,Export,Export(US$ Mil),         263743.55,         296578.50,         287353.35,         287638.89,         291523.92,         234494.89,         180762.73,         212340.68,         187491.68,         159223.18,         139209.59,         122291.33,          97231.94,          77944.17,          72022.27,          75217.56,          65060.63,          58966.74,          63220.28,          59737.70,          59438.46,          46414.57,          38882.33,          32528.87,          25929.64,          23430.01,          21441.67,          16022.07
,World,Consumer goods,Export,Export(US$ Mil),        1531063.00,        1739261.57,        1662821.76,        1601591.82,        1498251.41,        1241461.49,         975946.21,        1212295.67,        1051556.12,         904483.76,         774937.82,         667752.82,         561635.02,         488141.67,         456339.92,         475880.04,         415394.89,         392777.48,         413716.06,         385043.02,         371114.25,         339712.29,         310417.14,         230532.02,         171550.92,         154315.88,         140470.39,         103454.95
,World,Food Products,Export,Export(US$ Mil),          86217.63,          94812.81,          91282.04,          88003.12,          82278.37,          67155.99,          56115.02,          58701.40,          50637.15,          42845.83,          37557.91,          33327.49,          28627.81,          25352.39,          22692.72,          21741.60,          20212.65,          20142.15,          24341.25,          25473.28,          22858.24,          20385.09,          17750.87,          14076.81,           9882.53,           8844.15,           8076.15,           3169.40
