Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,          25977.24,          21413.11,          19266.64,,,,,,
,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            213.57,            212.69,
,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          29865.23,,,,,,,,,,,,,,,,,,,,,,,,,            621.72,            546.48,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             27.52,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           9639.36,           7939.21,           5495.24,           6947.56,           6788.37,,           4389.19,           4528.57,           4022.30,            308.35,            263.28,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          28136.43,,          33525.54,          39504.69,          43575.21,          41227.44,          33823.14,          48985.79,          45364.87,          39477.69,          32128.27,          26698.40,          20947.83,          18078.09,          17484.65,          18637.71,          22682.41,          11443.26,          10524.64,          18423.85,          16444.30,           9508.27,           9781.01,          12948.50,          11384.89,,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          50710.10,          81206.15,          78509.04,          73103.96,          59021.07,          54390.30,          46666.94,          58242.48,          45292.62,          33577.62,          28053.44,          24900.70,          20242.93,          21050.31,          21423.98,          21294.52,          19788.86,          17506.89,          10634.22,          17057.96,          16691.40,           9725.67,           9030.89,           9555.44,           6876.36,            250.80,            190.82,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         169397.31,         429181.46,         474463.63,         373700.71,         337903.49,         286443.11,         197118.39,         292997.68,         218600.08,         216619.64,         149159.50,         146549.63,         118884.07,          93822.00,          70480.96,          78920.52,          31695.53,          45500.32,           7724.22,           6784.02,,,           6479.69,           7622.02,          11799.00,           5046.05,            297.23,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          51335.29,          48119.26,          44477.42,          75136.71,,          61077.91,          48109.83,          39907.78,          64621.21,          27322.30,          26206.82,          24395.44,          14944.86,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      318450438.94,      351583532.34,      253488607.10,      262991361.58,      183998449.73,       50589767.34,      160735878.73,      204212708.75,      157075967.38,       97999973.32,      109282204.83,       53757644.79,       30382878.46,       29284479.43,       24470927.49,       26681020.11,       19791988.85,         924497.54,        1030152.79,        1520060.50,         218607.54,        2284911.25,       17232829.34,         565716.26,,         121882.40,,
,World,Animal,Export,Export(US$ Mil),           5088.16,           6318.82,           5735.57,           5175.19,           5822.21,           5672.83,           4937.72,           4982.23,           3514.88,           3361.32,           2918.27,           2292.80,           1950.14,           1987.18,           1392.29,           1464.06,           1286.55,           1190.41,           1027.93,           1033.35,           1076.00,            802.73,            705.48,            271.15,            172.20,             65.11,             64.26,
,World,Capital goods,Export,Export(US$ Mil),          35452.43,          90671.34,          87489.63,          73731.44,          30219.66,          29148.15,          28332.82,          38153.86,          29311.69,          19333.45,          23988.77,          14917.04,          12037.55,          10509.41,          11069.23,          12470.65,          12056.68,          10893.19,           8832.40,           8160.14,           7241.52,           2023.60,           1018.76,           1048.04,            683.80,             65.73,             68.92,
,World,Chemicals,Export,Export(US$ Mil),          44699.67,          60823.04,          58462.78,          60472.73,          58756.96,          46838.00,          32999.92,          43548.15,          27277.84,          25689.36,          21985.24,          16770.22,          13269.45,          11467.90,          10935.15,           9644.45,           9042.81,           8463.68,           5614.14,           7325.20,           7597.10,           4141.90,           3007.80,           3639.25,           2033.37,             18.56,             13.70,
,World,Consumer goods,Export,Export(US$ Mil),         179120.33,         355461.99,         354913.09,         212552.33,         243337.78,         223787.53,         148622.73,         257085.51,         195750.13,         140306.60,         121261.55,          87717.89,          69149.78,          57861.17,          56369.49,          52041.36,          33709.85,          29500.58,          22459.52,          26381.28,          23377.90,          18472.64,          16821.73,          16246.96,           9264.37,            329.35,            162.22,
,World,Food Products,Export,Export(US$ Mil),           7206.53,          14635.19,          14050.19,          12023.97,          10684.09,          10802.32,           8230.29,           8132.45,           5584.85,           5311.94,           4573.77,           3574.51,           3117.38,           2765.48,           2610.83,           2072.49,           1949.64,           1551.55,           1546.27,           1376.04,           1337.05,            752.45,            682.59,            273.09,            249.34,             10.47,             22.69,
,World,Footwear,Export,Export(US$ Mil),            994.98,           1718.67,           1598.57,           1503.14,           1563.15,           1561.32,           1375.05,           1584.79,           1590.89,           1357.78,           1144.88,           1088.19,           1032.38,            848.31,            760.53,            635.63,            663.18,            580.25,            493.18,            393.38,            364.32,            281.70,            266.38,            158.20,            104.43,              1.56,              0.60,
,World,Fuels,Export,Export(US$ Mil),         380473.06,         810057.23,         903714.63,         809865.45,         843959.86,         677972.56,         422289.10,         715962.83,         523162.53,         498399.54,         373904.94,         291634.71,         214286.97,         170434.60,         165007.77,         188985.50,         100414.43,          59188.31,          37681.55,          68673.45,          57989.30,          53018.71,          53069.75,          62536.93,          48528.86,           5056.81,           3505.81,
,World,Hides and Skins,Export,Export(US$ Mil),            607.98,           1140.06,           1105.75,            947.83,           1044.35,            939.41,            622.93,            690.31,            680.58,            694.02,            576.87,            540.23,            499.21,            449.26,            450.30,            395.28,            263.69,            247.76,            287.07,            242.06,            252.23,            182.28,            124.32,             64.06,             45.58,              0.42,              0.15,
,World,Intermediate goods,Export,Export(US$ Mil),          92872.04,         150797.57,         162853.32,         154886.68,         116149.39,          93767.39,          65971.79,         111542.84,          78345.66,          58063.26,          57821.37,          42353.36,          32964.51,          29231.30,          27285.18,          26000.34,          20625.63,          19512.94,          15724.39,          17732.78,          18338.38,           7694.52,           5215.83,           6666.18,           4307.23,            100.53,            101.19,
,World,Mach and Elec,Export,Export(US$ Mil),          32094.80,          83209.45,          80628.75,          68654.49,          42014.67,          37984.15,          34479.44,          35816.45,          25735.66,          26834.78,          23778.36,          18136.32,          15295.72,          12840.41,          12399.51,          13035.65,          12184.29,           9836.42,           7993.51,           7506.33,           6767.89,           1916.44,           1381.11,            877.04,            536.25,             33.58,             38.22,
,World,Metals,Export,Export(US$ Mil),          14562.61,          29114.80,          28107.99,          27933.44,          23248.34,          19319.45,          15085.40,          19026.28,          14212.73,          14821.42,          11208.40,           9170.75,           6740.39,           5956.98,           5358.14,           5290.26,           3702.52,           2609.94,           2057.72,           2203.33,           2442.70,           1169.36,           1026.34,           1138.17,            871.56,             64.63,             73.26,
,World,Minerals,Export,Export(US$ Mil),           4740.96,           6234.99,           7115.47,           8052.37,          10135.52,           7356.75,           3879.38,           7278.79,           3491.93,           3922.99,           2706.57,           2367.12,           2045.11,           2193.66,           1610.64,           1423.86,           1417.59,           1280.36,           1172.58,            908.39,           1041.58,            811.93,            589.91,            345.14,            203.70,              0.29,              0.30,
,World,Miscellaneous,Export,Export(US$ Mil),          21504.92,         141375.78,         120677.10,          95355.45,          98248.38,          75131.30,          73563.82,          63495.06,          56362.60,          44721.63,          39660.57,          39462.05,          33182.68,          23235.76,           7402.03,           7296.29,           3194.46,           2119.83,           1768.95,           1424.51,           1661.84,            341.83,            306.53,            191.10,            185.10,             27.68,             29.31,
,World,Plastic or Rubber,Export,Export(US$ Mil),          22181.31,          32976.97,          35595.59,          32542.24,          29285.15,          25781.11,          17493.22,          17648.92,          15552.04,          13453.38,          10439.93,           8176.59,           5835.95,           4998.88,           4919.58,           4153.53,           2991.81,           2662.71,           1501.76,           2478.90,           2727.21,           1113.46,            903.62,           1533.04,            975.92,              6.80,              5.15,
,World,Raw materials,Export,Export(US$ Mil),         273844.70,         593517.85,         678258.58,         600343.98,         578614.59,         459022.90,         271543.43,         550780.66,         399565.65,         335872.35,         302410.15,         197774.34,         148454.99,         113796.52,         111405.82,         126822.52,          70593.09,          51223.22,          33019.95,          58250.27,          50907.55,          43660.33,          42779.79,          50621.87,          42431.86,           4992.29,           3579.83,
,World,Stone and Glass,Export,Export(US$ Mil),          22919.72,          68687.81,          77194.31,          85855.43,          72843.37,          56746.01,          41472.55,          50855.57,          36864.94,          29852.35,          27185.44,          23273.29,          16917.86,          14228.43,          11662.28,          11833.11,           9461.51,           7452.55,           7831.00,           7182.78,           6626.53,            276.31,            532.33,            159.24,            105.77,              9.01,              2.24,
,World,Textiles and Clothing,Export,Export(US$ Mil),          12758.18,          18278.73,          17619.08,          16490.45,          18089.17,          18173.11,          16257.80,          17772.21,          16275.48,          16016.64,          14072.82,          14471.55,          13276.07,          12199.91,          11075.35,          10847.35,          10183.81,           8741.58,           6587.52,           5839.43,           6043.40,           4306.24,           3081.78,           1704.75,           1434.00,             29.30,             11.98,
,World,Transportation,Export,Export(US$ Mil),          14836.55,          32112.06,          27115.39,          21684.39,          16404.20,          17274.59,          17057.08,          14983.83,          13343.98,          11478.67,           8602.66,           6776.26,           4981.05,           4177.44,           3707.63,           3081.98,           2634.42,           1861.64,           1584.71,           1463.42,           1477.66,            970.69,           1335.02,            772.81,            526.67,            156.20,            143.35,
,World,Vegetable,Export,Export(US$ Mil),           9953.30,          12161.33,          12282.73,          10978.22,          14952.87,          15085.64,          10791.51,          10348.81,           8233.40,           8806.48,           7368.17,           5339.66,           4825.41,           4199.61,           3713.63,           3348.13,           3850.33,           3240.45,           2849.19,           2313.71,           2681.67,           1497.53,           1375.63,            798.80,            610.51,             19.52,             16.77,
,World,Wood,Export,Export(US$ Mil),           3036.29,           5246.17,           5157.58,           4687.58,           4283.59,           4101.64,           3505.40,           3615.30,           2890.56,           2375.09,           2050.68,           1680.04,           1484.46,           1259.36,            992.32,            913.91,            805.40,            646.01,            460.27,            518.34,            584.28,            376.30,            284.47,            156.01,            141.91,              4.47,              4.99,
,World,All Products,Export,Exports (in US$ Mil),         597659.02,        1324091.08,        1396161.49,        1262222.36,        1251335.88,        1020740.19,         704040.60,        1015741.99,         754774.89,         707097.39,         552177.58,         444754.29,         338740.24,         273243.15,         243997.99,         264421.47,         164046.44,         111673.44,          80457.35,         110882.63,         100670.78,          71959.85,          68673.07,          74618.78,          56111.93,           5504.42,           3932.78,
,World,Capital goods,Import,Import(US$ Mil),         148024.45,         248745.30,         225909.32,         194310.17,         134256.92,         142822.46,         106979.18,         173209.34,         134326.18,          79469.70,          95358.79,          68688.51,          53810.51,          48289.77,          43970.56,          42716.41,          39437.15,          39436.99,          27188.86,          27163.85,          27866.89,          17832.60,          16339.81,          15660.37,          10842.66,            614.70,            607.02,
,World,Consumer goods,Import,Import(US$ Mil),         194577.32,         318098.16,         288890.18,         250559.29,         161753.29,         168962.26,         118366.71,         200666.41,         150142.65,          92618.59,          99787.66,          66697.61,          54907.13,          45934.32,          44907.56,          41591.35,          34204.53,          34589.31,          23773.81,          26210.39,          26518.63,          16871.11,          17439.38,          17898.90,          14719.69,           1125.19,            873.75,
,World,Intermediate goods,Import,Import(US$ Mil),         134993.19,         240709.53,         232269.06,         213284.01,         146819.07,         141342.00,          97529.27,         194322.92,         134632.21,          78318.73,          97367.19,          65188.03,          51909.56,          44790.23,          42271.04,          39582.30,          37615.16,          40960.64,          29707.19,          30567.40,          32592.08,          21162.60,          18369.34,          18091.92,          12321.73,            482.85,            429.70,
,World,Raw materials,Import,Import(US$ Mil),          64820.74,         106069.48,          99771.41,          90936.40,          82826.03,          70423.99,          50287.02,          85913.54,          59905.24,          43268.54,          44738.86,          32910.03,          26132.99,          24969.46,          23310.86,          22738.49,          19983.70,          17742.42,          17832.84,          17230.26,          17398.52,           8718.72,           6098.48,           4557.47,           2927.75,            245.91,            233.71,
,World,All Products,Import,Imports (in US$ Mil),         552565.00,         952215.64,         894214.55,         809037.82,         755625.61,         666447.82,         542540.35,         682110.63,         509388.57,         430902.18,         361214.59,         319420.87,         250794.02,         215332.41,         193566.20,         181893.60,         159295.36,         135513.67,          99744.72,         103170.36,         106280.99,          65643.57,          59479.85,          57310.10,          41740.37,           2681.23,           2257.34,
,...,...,Development,"GNI per capita, Atlas method (current US$)",   8229.23,   8702.93,   8725.96,   8179.47,   7332.79,   6936.71,   6559.54,   6357.00,   5474.27,   4750.63,   4167.96,   3638.60,   3199.70,   2975.00,   2975.19,   2888.88,   2754.98,   2791.13,   2802.32,   2647.44,   2420.31,,,,,,,
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     86.03,     81.98,     84.25,     85.81,     84.42,     81.88,     81.70,     89.64,     86.94,     84.48,     84.11,     80.44,     75.70,     70.42,     67.93,     66.97,     62.26,     60.50,     62.76,     58.37,     58.73,     59.02,     61.34,     61.97,     66.33,     63.06,     61.23,     56.33
,...,...,Development,Trade Balance (% of GDP),      0.48,      9.57,     12.98,     12.86,     14.18,      8.99,      4.55,     13.03,     12.05,     15.04,     13.78,      9.73,      8.44,      7.30,      6.67,     10.94,      5.27,     -1.04,      4.68,      3.04,      1.41,      1.58,     -3.12,     -6.46,    -12.86,     -4.19,     -7.14,     -6.08
,...,...,Development,Trade in services (% of GDP),     18.32,     17.05,     15.42,     15.71,     16.56,     18.73,     20.70,     19.11,     19.98,     19.24,     18.35,,,,,     15.01,     14.62,     14.58,     15.15,     14.57,     15.01,     16.50,     18.76,     21.52,     21.53,     13.43,     13.73,     12.59
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.11,      3.78,,,      3.15,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     12.32,     12.95,     10.75,     10.38,      8.75,      9.71,      8.84,      8.80,      8.00,      7.06,      6.36,      5.52,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      5.59,      6.31,      8.49,      7.12,      7.72,      9.22,      6.03,      4.39,      1.79,,,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      5.36,,,      5.60,      6.25,      7.40,      7.48,      7.09,      7.71,      7.97,      8.86,      9.60,      9.54,      9.03,      9.73,     11.92,     11.75,     10.35,      6.77,,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      3.07,,,,,,,,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.38,      5.63,      5.46,      5.45,      5.29,      6.51,      6.24,      6.02,      6.47,      5.93,      7.16,      7.26,      7.57,      8.05,      7.88,      7.66,      8.04,      8.36,      9.25,      8.28,      8.61,      8.45,,      8.20,      8.26,      4.85,      5.49,
,India,All Products,Export,Partner share(%)-Top 5 Export Partner,,      3.22,      3.26,      4.04,      4.48,      4.32,      3.76,,,,,,,,,,,,,,,,,,,,,
,India,All Products,Import,Partner share(%)-Top 5 Import Partner,,      4.47,      4.99,      5.15,      5.68,      5.69,,,,,,,,,,,,,,,,,,,,,,
,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      0.32,,
,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,      3.44,      3.29,      4.36,      4.28,      3.47,      3.88,      3.37,      3.92,      4.23,      4.82,      3.99,,      4.43,      9.18,,      6.38,      6.91,,,,,,
,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.77,,,,,      5.15,,,,,,,,      5.93,      6.32,      6.19,      6.76,      7.63,      8.46,      7.73,      7.51,      7.69,      7.23,,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.24,      3.12,      3.33,      3.25,,,,      6.46,      8.29,      9.84,     10.89,      7.84,      8.24,      7.23,      9.19,      9.17,      9.92,,      7.52,      7.83,      9.51,     10.49,,,,,     34.61,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,      5.81,      5.81,,,,      5.67,,      5.83,      6.10,,,,,,      7.07,      9.62,     11.83,     12.85,     16.98,     15.70,
,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,     28.79,
,Monaco,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,     13.61,     14.22,     16.92,,,
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,     17.18,     20.92,     22.42,     24.72,     28.87,     24.45,     21.57,     21.17,     18.40,     20.01,     19.84,     18.13,     16.79,     15.74,     17.61,     19.51,     15.48,,,,,,     22.61,     23.74,     26.78,,      8.62,
,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      0.61,,
,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,     23.43,     21.27,     26.77,,,,,,
,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      3.88,      5.41,
,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.40,,,,,,,,,,,,,,,,,,,,,,,,,     23.19,     24.21,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      0.50,,
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,      6.05,      5.86,      5.51,      6.73,      6.39,,      7.38,      7.90,      9.64,     11.50,     11.66,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,      4.71,,      2.40,      3.13,      3.48,      4.04,      4.80,      4.82,      6.01,      5.58,      5.82,      6.00,      6.18,      6.62,      7.17,      7.05,     13.83,     10.25,     13.08,     16.62,     16.33,     13.21,     14.24,     17.35,     20.29,,,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      9.18,      8.53,      8.78,      9.04,      7.81,      8.16,      8.60,      8.54,      8.89,      7.79,      7.77,      7.80,      8.07,      9.78,     11.07,     11.71,     12.42,     12.92,     10.66,     16.53,     15.71,     14.82,     15.18,     16.67,     16.47,      9.35,      8.45,
,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,     28.34,     32.41,     33.98,     29.61,     27.00,     28.06,     28.00,     28.85,     28.96,     30.64,     27.01,     32.95,     35.10,     34.34,     28.89,     29.85,     19.32,     40.74,      9.60,      6.12,,,      9.44,     10.21,     21.03,     91.67,      7.56,
,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,,      5.39,      5.38,      5.50,      9.94,,     11.26,      7.05,      7.83,     15.00,      7.56,      8.20,      9.73,      6.94,,,,,,,,,,,,,,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     42.24,     41.81,     41.19,     38.93,     17.63,     15.44,     27.53,     31.24,     31.28,     26.92,     29.13,     17.80,     11.58,     12.36,     10.75,     11.16,     14.31,      3.20,      5.22,     18.61,      0.70,      2.33,     24.46,      2.92,,      1.30,,
,World,Animal,Export,Export Product share(%),      0.85,      0.48,      0.41,      0.41,      0.47,      0.56,      0.70,      0.49,      0.47,      0.48,      0.53,      0.52,      0.58,      0.73,      0.57,      0.55,      0.78,      1.07,      1.28,      0.93,      1.07,      1.12,      1.03,      0.36,      0.31,      1.18,      1.63,
,World,Capital goods,Export,Export Product share(%),      5.93,      6.85,      6.27,      5.84,      2.42,      2.86,      4.02,      3.76,      3.88,      2.73,      4.34,      3.35,      3.55,      3.85,      4.54,      4.72,      7.35,      9.75,     10.98,      7.36,      7.19,      2.81,      1.48,      1.40,      1.22,      1.19,      1.75,
,World,Chemicals,Export,Export Product share(%),      7.48,      4.59,      4.19,      4.79,      4.70,      4.59,      4.69,      4.29,      3.61,      3.63,      3.98,      3.77,      3.92,      4.20,      4.48,      3.65,      5.51,      7.58,      6.98,      6.61,      7.55,      5.76,      4.38,      4.88,      3.62,      0.34,      0.35,
,World,Consumer goods,Export,Export Product share(%),     29.97,     26.85,     25.42,     16.84,     19.45,     21.92,     21.11,     25.31,     25.93,     19.84,     21.96,     19.72,     20.41,     21.18,     23.10,     19.68,     20.55,     26.42,     27.91,     23.79,     23.22,     25.67,     24.50,     21.77,     16.51,      5.98,      4.12,
,World,Food Products,Export,Export Product share(%),      1.21,      1.11,      1.01,      0.95,      0.85,      1.06,      1.17,      0.80,      0.74,      0.75,      0.83,      0.80,      0.92,      1.01,      1.07,      0.78,      1.19,      1.39,      1.92,      1.24,      1.33,      1.05,      0.99,      0.37,      0.44,      0.19,      0.58,
,World,Footwear,Export,Export Product share(%),      0.17,      0.13,      0.11,      0.12,      0.12,      0.15,      0.20,      0.16,      0.21,      0.19,      0.21,      0.24,      0.30,      0.31,      0.31,      0.24,      0.40,      0.52,      0.61,      0.35,      0.36,      0.39,      0.39,      0.21,      0.19,      0.03,      0.02,
,World,Fuels,Export,Export Product share(%),     63.66,     61.18,     64.73,     64.16,     67.44,     66.42,     59.98,     70.49,     69.31,     70.49,     67.71,     65.57,     63.26,     62.37,     67.63,     71.47,     61.21,     53.00,     46.83,     61.93,     57.60,     73.68,     77.28,     83.81,     86.49,     91.87,     89.14,
